order_id;Date_and_time_of_unloading;Product_code;Amount;Sale_amount;Discount_amount;Profit;Percentage_markup;Discount_percentage
1;01.01.2020 23:00:00;144;1;280;;155;124;
2;01.01.2020 23:00:00;209;2;545,73;294,27;75,73;16,11;35,03
3;01.01.2020 23:00:00;213;2;1265,05;34,95;653,05;106,71;2,69
4;01.01.2020 23:00:00;217;1;630;70;220,5;53,85;10
5;01.01.2020 23:00:00;222;2;1104,75;195,25;393,75;55,38;15,02
6;01.01.2020 23:00:00;243;1;292,36;157,64;1,36;0,47;35,03
7;01.01.2020 23:00:00;258;1;559,55;240,45;93,55;20,08;30,06
8;01.01.2020 23:00:00;270;2;497,82;242,18;35,82;7,75;32,73
9;01.01.2020 23:00:00;271;1;324,84;175,16;53,84;19,87;35,03
10;01.01.2020 23:00:00;282;1;423;47;252;147,37;10
11;01.01.2020 23:00:00;294;1;324,84;175,16;25,84;8,64;35,03
12;01.01.2020 23:00:00;298;1;180;;90,32;100,71;
13;01.01.2020 23:00:00;386;1;370;;165;80,49;
14;01.01.2020 23:00:00;457;1;230;100;51;28,49;30,3
15;01.01.2020 23:00:00;566;3;549,42;110,58;211,35;62,52;16,75
16;01.01.2020 23:00:00;581;5;2032,71;717,29;615,21;43,4;26,08
17;01.01.2020 23:00:00;615;1;407,62;22,38;162,62;66,38;5,2
18;01.01.2020 23:00:00;646;1;280;;150;115,38;
19;01.01.2020 23:00:00;688;1;255,97;14,03;133,25;108,58;5,2
20;01.01.2020 23:00:00;706;1;160;;73,27;84,48;
21;01.01.2020 23:00:00;839;1;175,46;44,54;31,46;21,85;20,25
22;01.01.2020 23:00:00;840;1;199,39;50,61;7,39;3,85;20,24
23;01.01.2020 23:00:00;843;1;175,46;44,54;50,46;40,37;20,25
24;01.01.2020 23:00:00;850;1;226,04;123,96;31,04;15,92;35,42
25;01.01.2020 23:00:00;888;1;990;110;-160;-13,91;10
26;01.01.2020 23:00:00;1019;0,25;160;20;81,25;103,17;11,11
27;01.01.2020 23:00:00;1205;1;458,03;101,97;265,79;138,26;18,21
28;01.01.2020 23:00:00;1214;1;419,66;180,34;100,16;31,35;30,06
29;01.01.2020 23:00:00;1238;5;1150;100;575;100;8
30;01.01.2020 23:00:00;1276;1;379,19;20,81;175,19;85,88;5,2
31;01.01.2020 23:00:00;1362;0,25;238,89;61,11;66,39;38,49;20,37
32;01.01.2020 23:00:00;1434;2;780;100;404;107,45;11,36
33;01.01.2020 23:00:00;1470;1;255,21;64,79;93,21;57,54;20,25
34;01.01.2020 23:00:00;1471;1;255,21;64,79;93,21;57,54;20,25
35;01.01.2020 23:00:00;1472;2;539,27;60,73;239,27;79,76;10,12
36;01.01.2020 23:00:00;1486;1;663,57;36,43;263,57;65,89;5,2
37;01.01.2020 23:00:00;1497;1;220;60;75;51,72;21,43
38;01.01.2020 23:00:00;1498;1;210;;110;110;
39;01.01.2020 23:00:00;1501;1;487,5;212,5;172,5;54,76;30,36
40;01.01.2020 23:00:00;1510;1;195,89;84,11;65,89;50,68;30,04
41;01.01.2020 23:00:00;1530;1;263,65;66,35;113,65;75,77;20,11
42;01.01.2020 23:00:00;1534;1;312,83;17,17;102,83;48,97;5,2
43;01.01.2020 23:00:00;1561;0,5;280;;163,35;140,03;
44;01.01.2020 23:00:00;1562;1;280;70;80;40;20
45;01.01.2020 23:00:00;1565;1;474,03;25,97;215,03;83,02;5,19
46;01.01.2020 23:00:00;1594;0,5;300;;165;122,22;
47;01.01.2020 23:00:00;1595;2;512,79;247,21;100,79;24,46;32,53
48;01.01.2020 23:00:00;1604;1;798,94;201,06;203,94;34,28;20,11
49;01.01.2020 23:00:00;1676;2;540;60;265;96,36;10
50;01.01.2020 23:00:00;1683;0,25;191,11;48,89;75,25;64,95;20,37
51;01.01.2020 23:00:00;1709;3;1200;;597;99;
52;01.01.2020 23:00:00;1712;1;455;245;77;20,37;35
53;01.01.2020 23:00:00;1726;1;331,79;18,21;138,79;71,91;5,2
54;01.01.2020 23:00:00;1746;1;160;20;66,19;70,56;11,11
55;01.01.2020 23:00:00;1747;2;504;56;200,74;66,19;10
56;01.01.2020 23:00:00;1754;1;292,36;157,64;47,31;19,31;35,03
57;01.01.2020 23:00:00;1773;1;259,87;140,13;46,87;22;35,03
58;01.01.2020 23:00:00;1775;0,25;189,47;50,53;56,42;42,41;21,05
59;01.01.2020 23:00:00;1780;1;350;;173;97,74;
60;01.01.2020 23:00:00;1786;0,5;405;75;138,9;52,2;15,63
